drug	0	1	2	3	4	5	6	7	8	9	brandred
brompheniramine_maleate	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.191588785047
amlodipine_besylate_olmesartan_medoxomil	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	1.0
vilazodone_hydrochloride	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	1.0
fludrocortisone_acetate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.172413793103
atropine_sulfate	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	Antichol/Antimuscarin/Antispas	0.0514705882353
bisoprolol_fumarate	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	0.1
cefditoren_pivoxil	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	0.8
hydrocod_bit_phenyleph_hcl_pyril_mal	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.371428571429
clocortolone_pivalate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
gg_hydrocod_bit_phenyleph_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.302325581395
