fips	lat	lon	Am_Ind	Asian	Black_Hisp	White_Hisp	Black_non_Hisp	White_non_Hisp	Tot Active M.D.s Non-Fed & Fed	3-Yr Homicides&Legal Interventn	Births	Poor mental health days Value	Adult smoking Value	Adult obesity Value	Food environment index Value	Physical inactivity Value	Excessive drinking Value	Uninsured Value	Some college Value	Unemployment Value	Income inequality Value	Severe housing problems Value	Population living in a rural area Value	Food insecurity Value	Health care costs Value	Median household income Value	density	Female life expectancy, 2010 (years)
16079	47.347694	-115.885092	0.0148904654245	0.00280657987059	0.000155921103921	0.0196460590941	0.00116940827941	0.947298666875	0.000935526623528	0.0	0.00958914789117	3.7	0.176	0.309	6.7	0.28	0.15	0.175	0.465	0.1	4.686	0.131	0.56	0.195	8996.0	36577.0	4.9	78.9
16073	42.593063	-116.142655	0.0321876704855	0.00572831423895	0.00200036370249	0.214220767412	0.000545553737043	0.731132933261	9.09256228405e-05	9.09256228405e-05	0.0155482815057	4.1	0.207	0.321	7.2	0.29	0.144	0.311	0.335	0.033	4.645	0.179	0.773	0.146	7568.0	38478.0	1.5	80.2
16077	42.694126	-112.844407	0.0356808766537	0.00507817720166	0.00106908993719	0.232527061339	0.00120272617934	0.722571161299	0.000267272484298	0.0	0.0169718027529	4.0	0.196	0.314	7.7	0.235	0.149	0.251	0.415	0.048	2.754	0.168	0.426	0.123	7779.0	48048.0	5.6	80.5
16075	44.00274	-116.748655	0.00875526937509	0.0100523463195	0.000231620882939	0.125816463612	0.000972807708343	0.839440403947	0.000555890119053	4.63241765878e-05	0.0151016815676	3.6	0.18	0.323	6.9	0.237	0.151	0.223	0.529	0.056	4.097	0.147	0.427	0.153	7561.0	45533.0	55.6	79.9
06115	39.270026	-121.34428	0.0247249771781	0.077037335025	0.00393000263032	0.187572527115	0.0267518682985	0.635608299423	0.000789095016323	3.09449026009e-05	0.0194024539308	4.0	0.15	0.259	5.7	0.151	0.188	0.185	0.536	0.112	4.114	0.244	0.262	0.193	8513.0	41403.0	114.2	78.5
06111	34.358741	-119.133143	0.0117588213098	0.0618328467254	0.00367807907494	0.336049061112	0.0176896297977	0.544526193464	0.00209853591392	4.38761989171e-05	0.015356669621	3.3	0.112	0.206	8.6	0.167	0.185	0.181	0.617	0.067	4.427	0.253	0.031	0.104	9378.0	74967.0	446.7	82.9
06113	38.679268	-121.903178	0.0135438588879	0.11184396086	0.00326527955566	0.255380659999	0.0221789503374	0.559447614502	0.00357987459591	2.16962096722e-05	0.013104510642	3.7	0.124	0.202	7.4	0.142	0.178	0.169	0.686	0.077	5.785	0.246	0.069	0.16	6779.0	54509.0	197.9	82.1
13023	32.435403	-83.331717	8.30082178136e-05	0.0106250518801	0.000996098613763	0.0115381422761	0.247032456213	0.726072881215	0.000747073960322	8.30082178136e-05	0.012036191583	4.1	0.181	0.3	6.0	0.291	0.146	0.173	0.432	0.114	6.388	0.133	0.516	0.22	10797.0	40454.0	60.5	76.0
01087	32.387027	-85.692887	0.00125113249062	0.00504767246214	0.00517709996117	0.00280426247897	0.82799085379	0.152508736356	0.000819707493852	0.000172569998706	0.0108719099185	5.2	0.235	0.424	3.6	0.311	0.101	0.159	0.554	0.091	5.579	0.198	0.555	0.254	7607.0	28518.0	35.2	76.4
01003	30.659218	-87.746067	0.0050925010051	0.00348434279296	0.00105296073414	0.0201657934538	0.0995462696473	0.862221683333	0.00195276354331	5.10526416551e-05	0.0129354630794	4.2	0.186	0.267	7.6	0.252	0.151	0.175	0.623	0.061	4.495	0.147	0.423	0.137	9490.0	49626.0	114.6	80.3
