"id"	"stat"	"approx"	"df1"	"df2"	"p.value"
"1"	"Wilks"	3.69146174155473e-06	7.6023633262736	5460	72773.5237914527	0
"2"	"Wilks"	2.58779218544839e-05	6.49345780216061	5238	70232.6223835063	0
"3"	"Wilks"	0.000118783235810002	5.66688038048264	5018	67686.5770187088	0
"4"	"Wilks"	0.000448164003088255	4.95008847482696	4800	65135.4454888093	0
"5"	"Wilks"	0.00131050585023573	4.38801156203503	4584	62579.2905592831	0
"6"	"Wilks"	0.00321079563435833	3.92597625762067	4370	60018.1801983756	0
"7"	"Wilks"	0.00686827343754688	3.53692138090842	4158	57452.1878146037	0
"8"	"Wilks"	0.0133066845963405	3.19622854983927	3948	54881.3925029135	0
"9"	"Wilks"	0.021725283265848	2.96951610403724	3740	52305.8792996846	0
"10"	"Wilks"	0.033976977502581	2.75675153086276	3534	49725.739446759	0
"11"	"Wilks"	0.0479673448114868	2.61520891925517	3330	47141.0706646623	0
"12"	"Wilks"	0.0669186817656703	2.46697923319511	3128	44551.9774351603	0
"13"	"Wilks"	0.0902636144096478	2.33369556338675	2928	41958.5712932727	0
"14"	"Wilks"	0.119227706741161	2.20401949810307	2730	39360.9711288219	0
"15"	"Wilks"	0.152836196353613	2.08942941144728	2534	36759.3034975412	0
"16"	"Wilks"	0.193434169674794	1.97135745836263	2340	34153.7029416742	0
"17"	"Wilks"	0.24028321440523	1.85721316909791	2148	31544.3123198523	0
"18"	"Wilks"	0.297386327521699	1.72552905999639	1958	28931.2831457783	0
"19"	"Wilks"	0.359327696574279	1.60483349215715	1770	26314.7759347789	0
"20"	"Wilks"	0.42244985157399	1.50494668166029	1584	23694.9605563657	0
"21"	"Wilks"	0.484750715527028	1.4273808938609	1400	21072.016589023	0
"22"	"Wilks"	0.548194470786302	1.35905054068593	1218	18446.1336690658	7.7715611723761e-15
"23"	"Wilks"	0.611882584428953	1.30075342878347	1038	15817.5118145405	7.45777772870326e-10
"24"	"Wilks"	0.674920474638901	1.25477756473191	860	13186.3616747351	1.12621314463102e-06
"25"	"Wilks"	0.743767365925378	1.18534105013605	684	10552.9045571585	0.000843287344060473
"26"	"Wilks"	0.815424869123969	1.0927108551647	510	7917.37168910358	0.079412853403489
"27"	"Wilks"	0.885117602167625	0.982851489198551	338	5280	0.576960643742806
"28"	"Wilks"	0.950918312740395	0.811400726539214	168	2641	0.961458302152989
